modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Bredon,22/5/1339,3,5,22,5,1339,1339/5/22,52.022359,-2.1179982,Worcestershire,,
Llanthony Priory,22/5/1340,3,5,22,5,1340,1340/5/22,51.86,-2.257,Gloucestershire,117,Coord source: https://en.wikipedia.org/wiki/Llanthony_Secunda
Henbury,22/5/1340,3,5,22,5,1340,1340/5/22,51.499215,-2.6352549,Gloucestershire,,
Bredon,22/5/1345,3,5,22,5,1345,1345/5/22,52.022359,-2.1179982,Worcestershire,,
Hartlebury,22/5/1346,3,5,22,5,1346,1346/5/22,52.327826,-2.2508729,Worcestershire,,
Hartlebury,22/5/1349,3,5,22,5,1349,1349/5/22,52.327826,-2.2508729,Worcestershire,,
Bristol Deanery,22/6/1340,3,5,22,6,1340,1340/6/22,51.47254,-2.5772934,Gloucestershire,,
Blockley,22/6/1344,3,5,22,6,1344,1344/6/22,52.00421,-1.768331,,1222,
Worcester,22/6/1347,3,5,22,6,1347,1347/6/22,52.184041,-2.2208098,Worcestershire,,
Bredon,22/7/1339,3,5,22,7,1339,1339/7/22,52.022359,-2.1179982,Worcestershire,,
Alvechurch,22/7/1344,3,5,22,7,1344,1344/7/22,52.34607,-1.9720644,Worcestershire,,
Henbury,22/7/1346,3,5,22,7,1346,1346/7/22,51.499215,-2.6352549,Gloucestershire,,
Hartlebury,22/7/1349,3,5,22,7,1349,1349/7/22,52.327826,-2.2508729,Worcestershire,,
Alvechurch,22/8/1339,3,5,22,8,1339,1339/8/22,52.34607,-1.9720644,Worcestershire,1130,
Withington,22/8/1341,3,5,22,8,1341,1341/8/22,51.833604,-1.9578672,Gloucestershire,,
Hartlebury,22/9/1339,3,5,22,9,1339,1339/9/22,52.327826,-2.2508729,Worcestershire,,
Gloucester,22/9/1345,3,5,22,9,1345,1345/9/22,51.860322,-2.2482616,Gloucestershire,,
